,quad_id,lat,lat2,lon,lon2,geometry
1234,1235,40.675037,40.680037,-73.92718199999999,-73.92218199999999,"POLYGON ((-73.92218199999999 40.675037, -73.92218199999999 40.680037, -73.92718199999999 40.680037, -73.92718199999999 40.675037, -73.92218199999999 40.675037))"
1235,1236,40.675037,40.680037,-73.92218199999999,-73.91718199999998,"POLYGON ((-73.91718199999998 40.675037, -73.91718199999998 40.680037, -73.92218199999999 40.680037, -73.92218199999999 40.675037, -73.91718199999998 40.675037))"
1236,1237,40.675037,40.680037,-73.91718199999998,-73.91218199999999,"POLYGON ((-73.91218199999999 40.675037, -73.91218199999999 40.680037, -73.91718199999998 40.680037, -73.91718199999998 40.675037, -73.91218199999999 40.675037))"
1237,1238,40.675037,40.680037,-73.91218199999999,-73.90718199999999,"POLYGON ((-73.90718199999999 40.675037, -73.90718199999999 40.680037, -73.91218199999999 40.680037, -73.91218199999999 40.675037, -73.90718199999999 40.675037))"
1238,1239,40.675037,40.680037,-73.90718199999999,-73.902182,"POLYGON ((-73.902182 40.675037, -73.902182 40.680037, -73.90718199999999 40.680037, -73.90718199999999 40.675037, -73.902182 40.675037))"
1239,1240,40.675037,40.680037,-73.902182,-73.89718199999999,"POLYGON ((-73.89718199999999 40.675037, -73.89718199999999 40.680037, -73.902182 40.680037, -73.902182 40.675037, -73.89718199999999 40.675037))"
1240,1241,40.675037,40.680037,-73.89718199999999,-73.89218199999999,"POLYGON ((-73.89218199999999 40.675037, -73.89218199999999 40.680037, -73.89718199999999 40.680037, -73.89718199999999 40.675037, -73.89218199999999 40.675037))"
1242,1243,40.675037,40.680037,-73.887182,-73.88218199999999,"POLYGON ((-73.88218199999999 40.675037, -73.88218199999999 40.680037, -73.887182 40.680037, -73.887182 40.675037, -73.88218199999999 40.675037))"
1243,1244,40.675037,40.680037,-73.88218199999999,-73.87718199999999,"POLYGON ((-73.87718199999999 40.675037, -73.87718199999999 40.680037, -73.88218199999999 40.680037, -73.88218199999999 40.675037, -73.87718199999999 40.675037))"
1245,1246,40.675037,40.680037,-73.872182,-73.86718199999999,"POLYGON ((-73.86718199999999 40.675037, -73.86718199999999 40.680037, -73.872182 40.680037, -73.872182 40.675037, -73.86718199999999 40.675037))"
1246,1247,40.675037,40.680037,-73.86718199999999,-73.86218199999999,"POLYGON ((-73.86218199999999 40.675037, -73.86218199999999 40.680037, -73.86718199999999 40.680037, -73.86718199999999 40.675037, -73.86218199999999 40.675037))"
1247,1248,40.675037,40.680037,-73.86218199999999,-73.857182,"POLYGON ((-73.857182 40.675037, -73.857182 40.680037, -73.86218199999999 40.680037, -73.86218199999999 40.675037, -73.857182 40.675037))"
